爱戴,爱带
白皙,白晰
暴乱,爆乱
报酬,报筹
爆炸,暴炸
卑怯,卑却
辨析,辩析
噩耗,恶耗
才华,材华
喝彩,喝采
遨游,翱游
娘俩,娘两
更迭,更叠
洽商,恰商
起讫,起迄
玷辱,沾辱
仲裁,中裁
雕砌,雕彻
辟谣,劈谣
名片,明片
梦魇,梦餍
藐视,缈视
蓦然,募然
募捐,蓦捐
通缉,通辑
杂沓,杂踏
弈棋,奕棋
疏浚,疏峻
吉祥,吉详
肖像,肖象
开销,开消
厮杀,撕杀
伫立,贮立
皱纹,绉纹
燥热,躁热
肿胀,肿涨
羁縻,羁靡
描摹,描模
翱翔,遨翔
怄气,呕气
亵渎,亵赎
渲染,宣染
延伸,延申
奢靡,奢糜
毗邻,毗临
剽悍,骠悍
永诀,永决
殴打,欧打
拥戴,拥带
煤炭,煤碳
编纂,编篡
按摩,按磨
暴躁,爆躁
蛰居,蜇居
下工夫,下功夫  
显像管,显象管
暴发户,爆发户 
肇事者,造事者
文身,纹身
坐标系,座标系 
照相机,照像机
暖烘烘,暖哄哄  
名信片,明信片
座右铭,坐右铭 
天然气,天然汽
煤气机,煤汽机 
引申义,引伸义
冷不防,冷不妨 
稗官野史,裨官野史
百炼成钢,百练成钢
火山爆发,火山暴发
和蔼可亲,和霭可亲
爱不释手,爱不失手
爱屋及乌,爱乌及屋
安分守己,安份守己
安居乐业,按居乐业
黯然泪下,暗然泪下
暗无天日,黯无天日
嗷嗷待哺,敖敖待哺
决不罢休,绝不罢休
白璧微瑕,白壁微瑕
英雄辈出,英雄倍出 
唉声叹气,哀声叹气
山洪暴发,山洪爆发
武装暴动,武装爆动
五色斑斓,五色斑澜
百步穿杨,百步串杨
百尺竿头,百尺杆头
罢黜百家,罢绌百家
百战不殆,百战不贻
大有裨益,大有稗益
原物璧还,原物必还  
森严壁垒,森严壁磊
鞭辟入里,鞭僻入理
能言善辩,能言善辨 
变幻莫测,变换莫测
膘肥体壮,骠肥体壮
彪柄千古,标柄千古
